p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
4.804635051876513e-279	2.1276165774079843	0.399	0.037	1.8148547981453152e-274	7	1700019M22Rik
1.199393501930363e-253	2.124421092827688	0.287	0.017	4.53046907484156e-249	7	Atp1a4
1.8029065239781156e-229	2.1235812298857892	0.302	0.024	6.810118813022535e-225	7	BC106175
6.071009390018325e-280	2.1090903408788724	0.23	0.006	2.293202376891622e-275	7	Wbscr25
8.10900473622541e-283	2.10560293632578	0.194	0.003	3.063014359014424e-278	7	Lipe
3.651441063947942e-244	2.105032672080327	0.151	0.001	1.3792588330850561e-239	8	Cybb
5.0534913303240846e-266	2.104807550734063	0.278	0.014	1.9088552802033164e-261	7	Akap1
1.089301465565208e-242	2.1010131470008098	0.169	0.002	4.1146184258794604e-238	8	B2m
9.378963854992867e-282	2.0966034798912863	0.253	0.009	3.542716016946456e-277	7	Sh3rf2
8.428219435112832e-244	2.092818117360957	0.361	0.034	3.18359132722517e-239	7	Fam71e1
0	2.091408545854617	0.216	0.001	0	7	Tmem56
7.69151926372253e-249	2.0893915892610058	0.241	0.01	2.905317571485911e-244	7	Csnk1g2
1.112297131341813e-289	2.0880323524305378	0.232	0.006	4.20147995421743e-285	7	Spem2
3.0853730479719175e-216	2.087949884294184	0.345	0.037	1.1654379614104325e-211	7	Nt5c1b
2.3011124782759162e-230	2.086593397567388	0.29	0.021	8.691992164191618e-226	7	Ube2n
5.04003638317477e-218	2.083275513986308	0.332	0.033	1.903772943016606e-213	7	Rnf138
1.434486068230959e-236	2.0822415683019324	0.285	0.019	5.418484225528801e-232	7	Lrrc8b
2.5356059380061235e-242	2.0806025425053916	0.349	0.032	9.57774430963053e-238	7	1700019D03Rik
1.5960386197858167e-279	2.078940948627056	0.392	0.035	6.028716678516966e-275	7	Irgc1
5.431724530807499e-290	2.0777496243703952	0.299	0.015	2.0517253070219165e-285	7	Chn2
0	2.074817540038094	0.239	0.005	0	7	4930544D05Rik
2.635278007961097e-247	2.0739026292540106	0.332	0.027	9.954235619471452e-243	7	Fam71d
3.80079098375875e-189	2.0725180261069562	0.138	0.002	1.4356727782951929e-184	8	Ftl1
6.5748547256775225e-208	2.066650958781495	0.351	0.04	2.4835198755301707e-203	7	Ms4a14
4.78736388218569e-235	2.0510214787449956	0.259	0.015	1.8083309592180006e-230	7	Eif4e
2.1687860093842507e-210	2.0480718769189865	0.443	0.069	8.19215539324713e-206	7	Pgk2
2.504391340715243e-255	2.0471918642480333	0.351	0.03	9.459837411283687e-251	7	Spaca9
0	2.043713383894475	0.482	0.028	0	6	Rnf151
7.663103098368399e-208	2.0418842075740233	0.153	0.002	2.8945839333466955e-203	8	Laptm5
9.283965506282308e-205	2.041625589417032	0.419	0.062	3.506832290688016e-200	7	D830044I16Rik
0	2.040171873725692	0.216	0.003	0	7	Lrrc57
1.2085214157140063e-266	2.0398708031703383	0.258	0.011	4.5649479435765156e-262	7	Pdzd8
1.528248570491704e-218	2.038936985722668	0.328	0.032	5.772653325318313e-214	7	Arl2bp
8.091471796954169e-221	2.035659644513224	0.309	0.027	3.056391641863498e-216	7	Iqcf4
0	2.0355972295221654	0.242	0.005	0	7	1700034E13Rik
4.0698373039193604e-284	2.0347165711817947	0.177	0.001	1.53729964480946e-279	7	Gm498
4.744600715344781e-193	2.0232858236039015	0.289	0.028	1.792178028207184e-188	7	Gpat4
0	2.020341534672387	0.49	0.028	0	6	Tex33
4.512202627788789e-291	2.018069602391518	0.187	0.002	1.7043942985946594e-286	7	Ttc24
1.6493873846041635e-231	2.017324926415225	0.21	0.008	6.2302309678653065e-227	7	Cdrt4
1.1036041003364622e-273	2.0164478846566887	0.22	0.006	4.1686437682009185e-269	7	Clmn
1.2289618485652376e-234	2.010200593878051	0.304	0.023	4.642157590585472e-230	7	1700003F12Rik
